code,name,asof,close,prev_month_end_close,mtd_pct,turnover,volume,vol5,vol_ratio,amount,amount_yi
601882,海天精工,2026-08-11,21.05,19.13,10.04,4.0,208590,74293,2.808,430347800,4.3
600590,泰豪科技,2026-08-11,8.81,8.03,9.71,5.63,474693,299963,1.583,418428400,4.18
002788,鹭燕医药,2026-08-11,11.7,10.2,14.71,9.06,346091,285739,1.211,407756900,4.08
603912,佳力图,2026-08-11,8.07,7.05,14.47,9.26,501958,309980,1.619,405271100,4.05
002626,金达威,2026-08-11,16.01,14.15,13.14,3.97,242115,111727,2.167,398593000,3.99
002150,正泰电源,2026-08-11,22.06,20.26,8.88,4.79,171584,102338,1.677,375451500,3.75
002418,康盛股份,2026-08-11,3.84,3.43,11.95,8.35,948957,668053,1.42,369245500,3.69
002612,朗姿股份,2026-08-11,16.89,14.79,14.2,8.62,219430,178085,1.232,366410200,3.66
601156,东航物流,2026-08-11,18.14,17.07,6.27,2.08,196749,118771,1.657,358455700,3.58
601199,江南水务,2026-08-11,6.33,5.62,12.63,6.07,567387,283654,2.0,355654100,3.56
605162,新中港,2026-08-11,9.1,8.32,9.38,8.67,383915,214328,1.791,352725900,3.53
300397,天和防务,2026-08-11,11.28,10.18,10.81,7.59,309929,239349,1.295,351132900,3.51
605128,上海沿浦,2026-08-11,25.69,23.0,11.7,4.27,134034,68871,1.946,346158600,3.46
000410,沈阳机床,2026-08-11,5.24,4.93,6.29,3.27,645066,260474,2.477,340228200,3.4
002226,江南化工,2026-08-11,5.39,4.97,8.45,2.36,626049,319362,1.96,333613100,3.34
002068,黑猫股份,2026-08-11,8.17,7.64,6.94,5.09,374179,288690,1.296,307885900,3.08
600881,亚泰集团,2026-08-11,1.87,1.76,6.25,5.31,1717088,919786,1.867,306697200,3.07
300809,华辰装备,2026-08-11,25.54,22.71,12.46,7.9,118942,82939,1.434,304596100,3.05
